NUM,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z
576,2.63991,-25.9804,2.16216,-41.4488,1.5488,-4.47889,1.30248,-32.2487,0.385467,-45.11,-39.2023,-5.63711,1.84311,-30.9304,4.24101,1.35712,-47.8659,1.33868
577,2.63991,-25.9804,2.16216,-41.4488,1.5488,-4.47889,1.30248,-32.2487,0.385467,-45.11,-39.2023,-5.63711,1.84311,-30.9304,4.24101,1.35712,-47.8659,1.33868
578,2.63991,-25.9804,2.16216,-41.4488,1.5488,-4.47889,1.30248,-32.2487,0.385467,-45.11,-39.2023,-5.63711,1.84311,-30.9304,4.24101,1.35712,-47.8659,1.33868
579,2.77894,-26.0161,2.1231,-41.3637,1.84652,-4.68935,1.29021,-32.3354,0.763454,-45.1341,-39.0387,-6.00299,2.25335,-30.8199,3.85022,1.15711,-47.8322,0.791164
580,2.77894,-26.0161,2.1231,-41.3637,1.84652,-4.68935,1.29021,-32.3354,0.763454,-45.1341,-39.0387,-6.00299,2.25335,-30.8199,3.85022,1.15711,-47.8322,0.791164
581,2.80443,-25.9141,2.10299,-41.1102,2.09197,-5.10649,0.948777,-32.3101,0.601824,-44.9456,-39.0643,-5.25528,2.45217,-30.8615,3.62198,0.832637,-47.7271,-0.0318762
582,2.80443,-25.9141,2.10299,-41.1102,2.09197,-5.10649,0.948777,-32.3101,0.601824,-44.9456,-39.0643,-5.25528,2.45217,-30.8615,3.62198,0.832637,-47.7271,-0.0318762
583,2.80443,-25.9141,2.10299,-41.1102,2.09197,-5.10649,0.948777,-32.3101,0.601824,-44.9456,-39.0643,-5.25528,2.45217,-30.8615,3.62198,0.832637,-47.7271,-0.0318762
584,2.8601,-25.9611,2.22143,-41.2616,2.16837,-5.42389,1.12058,-32.3159,0.589924,-45.0957,-39.1497,-5.46832,1.95605,-30.9168,4.06755,1.06986,-47.8192,0.682045
585,2.8601,-25.9611,2.22143,-41.2616,2.16837,-5.42389,1.12058,-32.3159,0.589924,-45.0957,-39.1497,-5.46832,1.95605,-30.9168,4.06755,1.06986,-47.8192,0.682045
586,2.8601,-25.9611,2.22143,-41.2616,2.16837,-5.42389,1.12058,-32.3159,0.589924,-45.0957,-39.1497,-5.46832,1.95605,-30.9168,4.06755,1.06986,-47.8192,0.682045
587,2.8601,-25.9611,2.22143,-41.2616,2.16837,-5.42389,1.12058,-32.3159,0.589924,-45.0957,-39.1497,-5.46832,1.95605,-30.9168,4.06755,1.06986,-47.8192,0.682045
588,2.8601,-25.9611,2.22143,-41.2616,2.16837,-5.42389,1.12058,-32.3159,0.589924,-45.0957,-39.1497,-5.46832,1.95605,-30.9168,4.06755,1.06986,-47.8192,0.682045
589,2.8601,-25.9611,2.22143,-41.2616,2.16837,-5.42389,1.12058,-32.3159,0.589924,-45.0957,-39.1497,-5.46832,1.95605,-30.9168,4.06755,1.06986,-47.8192,0.682045
590,2.8601,-25.9611,2.22143,-41.2616,2.16837,-5.42389,1.12058,-32.3159,0.589924,-45.0957,-39.1497,-5.46832,1.95605,-30.9168,4.06755,1.06986,-47.8192,0.682045
591,2.8601,-25.9611,2.22143,-41.2616,2.16837,-5.42389,1.12058,-32.3159,0.589924,-45.0957,-39.1497,-5.46832,1.95605,-30.9168,4.06755,1.06986,-47.8192,0.682045
592,2.8601,-25.9611,2.22143,-41.2616,2.16837,-5.42389,1.12058,-32.3159,0.589924,-45.0957,-39.1497,-5.46832,1.95605,-30.9168,4.06755,1.06986,-47.8192,0.682045
593,3.24515,-26.0809,1.03189,-42.258,1.69492,-3.36944,1.43557,-32.575,-0.676382,-44.9896,-39.0064,-2.617,6.39734,-56.9861,4.81401,-1.87326,-48.8301,-0.813077
594,3.38891,-26.0764,0.95711,-42.0923,1.24037,-3.04836,1.70014,-32.518,-0.637793,-45.0827,-38.0983,-4.01226,6.18508,-57.1327,4.86801,-1.7953,-48.9645,-0.343554
595,3.38891,-26.0764,0.95711,-42.0923,1.24037,-3.04836,1.70014,-32.518,-0.637793,-45.0827,-38.0983,-4.01226,6.18508,-57.1327,4.86801,-1.7953,-48.9645,-0.343554
596,3.38891,-26.0764,0.95711,-42.0923,1.24037,-3.04836,1.70014,-32.518,-0.637793,-45.0827,-38.0983,-4.01226,6.18508,-57.1327,4.86801,-1.7953,-48.9645,-0.343554
597,3.2722,-26.2391,1.36753,-42.3392,1.76936,-3.54991,1.7803,-32.3813,-0.904193,-44.8915,-38.3803,-3.85005,6.03929,-57.0709,4.76609,-1.68863,-49.0496,-0.0480429
598,3.2722,-26.2391,1.36753,-42.3392,1.76936,-3.54991,1.7803,-32.3813,-0.904193,-44.8915,-38.3803,-3.85005,6.03929,-57.0709,4.76609,-1.68863,-49.0496,-0.0480429
599,3.20415,-26.3402,1.07963,-42.3215,2.10102,-3.45736,1.7846,-32.3758,-0.80199,-44.8304,-38.3711,-3.90816,6.19526,-57.0755,4.87673,-1.84334,-48.9333,-0.514813
600,3.20415,-26.3402,1.07963,-42.3215,2.10102,-3.45736,1.7846,-32.3758,-0.80199,-44.8304,-38.3711,-3.90816,6.19526,-57.0755,4.87673,-1.84334,-48.9333,-0.514813
601,3.20415,-26.3402,1.07963,-42.3215,2.10102,-3.45736,1.7846,-32.3758,-0.80199,-44.8304,-38.3711,-3.90816,6.19526,-57.0755,4.87673,-1.84334,-48.9333,-0.514813
602,3.28442,-26.2158,0.945547,-42.139,1.80746,-3.34033,1.954,-32.4007,-0.700342,-45.0172,-38.1117,-4.42064,5.762,-57.1048,4.78062,-1.73437,-49.0724,-0.0374381
603,3.28442,-26.2158,0.945547,-42.139,1.80746,-3.34033,1.954,-32.4007,-0.700342,-45.0172,-38.1117,-4.42064,5.762,-57.1048,4.78062,-1.73437,-49.0724,-0.0374381
604,2.98774,-26.0435,1.22225,-42.1905,1.13364,-2.57701,1.85689,-32.4565,-0.885027,-45.0522,-38.2012,-4.10296,6.05536,-57.1894,4.98386,-1.70161,-49.0773,-0.0682349
605,2.98774,-26.0435,1.22225,-42.1905,1.13364,-2.57701,1.85689,-32.4565,-0.885027,-45.0522,-38.2012,-4.10296,6.05536,-57.1894,4.98386,-1.70161,-49.0773,-0.0682349
606,2.98774,-26.0435,1.22225,-42.1905,1.13364,-2.57701,1.85689,-32.4565,-0.885027,-45.0522,-38.2012,-4.10296,6.05536,-57.1894,4.98386,-1.70161,-49.0773,-0.0682349
607,2.94545,-26.1424,1.20905,-42.3285,1.07878,-2.31219,1.84448,-32.4458,-1.05892,-44.8922,-38.1924,-3.91972,6.24356,-57.0644,4.75113,-1.8475,-48.9143,-0.501843
608,2.94545,-26.1424,1.20905,-42.3285,1.07878,-2.31219,1.84448,-32.4458,-1.05892,-44.8922,-38.1924,-3.91972,6.24356,-57.0644,4.75113,-1.8475,-48.9143,-0.501843
609,3.19883,-26.1515,1.30894,-42.2808,1.60605,-3.43044,1.75964,-32.3713,-1.05822,-44.9138,-38.476,-3.61281,6.08305,-57.0836,4.98628,-1.71589,-49.0635,-0.0925731
610,3.19883,-26.1515,1.30894,-42.2808,1.60605,-3.43044,1.75964,-32.3713,-1.05822,-44.9138,-38.476,-3.61281,6.08305,-57.0836,4.98628,-1.71589,-49.0635,-0.0925731
611,3.19883,-26.1515,1.30894,-42.2808,1.60605,-3.43044,1.75964,-32.3713,-1.05822,-44.9138,-38.476,-3.61281,6.08305,-57.0836,4.98628,-1.71589,-49.0635,-0.0925731
612,3.06485,-26.1276,1.24497,-42.2652,1.33778,-2.86176,2.02603,-32.4461,-1.07696,-45.0264,-38.2285,-4.14525,6.00738,-57.0927,4.84218,-1.67135,-49.1086,0.0280371
613,3.06485,-26.1276,1.24497,-42.2652,1.33778,-2.86176,2.02603,-32.4461,-1.07696,-45.0264,-38.2285,-4.14525,6.00738,-57.0927,4.84218,-1.67135,-49.1086,0.0280371
614,2.80534,-26.2389,1.30054,-42.616,0.986356,-1.84652,2.04008,-32.4522,-1.01591,-45.0053,-38.0198,-4.4821,6.04989,-57.0349,4.95586,-1.75194,-49.0439,-0.229839
615,2.80534,-26.2389,1.30054,-42.616,0.986356,-1.84652,2.04008,-32.4522,-1.01591,-45.0053,-38.0198,-4.4821,6.04989,-57.0349,4.95586,-1.75194,-49.0439,-0.229839
